['PRP$', 'VBG', 'FW', '``', 'VBN', 'POS', "''", 'VBP', 'WDT', 'JJ', 'WP', 'VBZ', 'DT', '#', 'RP', '$', 'NN', ')', '(', 'RBR', 'VBD', ',', '.', 'TO', 'LS', 'RB', ':', 'NNS', 'NNP', 'VB', 'WRB', 'CC', 'PDT', 'RBS', 'PRP', 'CD', 'EX', 'IN', 'WP$', 'MD', 'NNPS', 'JJS', 'JJR', 'SYM', 'UH']
[5, 0, 0, 1, 1, 0, 1, 2, 9, 2, 1, 6, 403, 0, 3, 0, 5, 0, 0, 0, 9, 13, 0, 83, 0, 2, 6, 1, 20, 3, 1, 53, 0, 0, 10, 3, 0, 165, 0, 0, 0, 1, 0, 0, 0]
[0, 3, 0, 0, 3, 0, 1, 7, 0, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 2, 0, 0, 0, 5, 1, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[34, 65, 0, 53, 92, 5, 2, 67, 8, 260, 12, 116, 735, 0, 16, 2, 612, 0, 9, 15, 184, 42, 0, 22, 0, 141, 18, 208, 309, 87, 16, 52, 2, 5, 110, 73, 3, 674, 0, 47, 6, 15, 14, 0, 1]
[5, 10, 0, 176, 6, 3, 21, 0, 1, 21, 0, 5, 18, 0, 4, 62, 32, 0, 6, 0, 28, 127, 1, 3, 1, 8, 8, 23, 80, 1, 0, 2, 0, 0, 1, 6, 0, 31, 0, 0, 2, 0, 1, 0, 0]
[0, 3, 0, 0, 8, 2, 0, 5, 0, 7, 0, 28, 0, 0, 0, 0, 51, 0, 0, 0, 7, 1, 1, 0, 0, 25, 0, 27, 34, 4, 1, 1, 0, 0, 0, 5, 0, 0, 0, 4, 1, 1, 0, 0, 0]
[2, 1, 0, 0, 0, 5, 0, 5, 0, 2, 0, 1, 147, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 4, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0]
[45, 84, 0, 1, 156, 88, 1, 45, 0, 450, 1, 52, 123, 0, 10, 3, 686, 1, 0, 23, 133, 25, 0, 7, 0, 193, 19, 350, 596, 335, 0, 13, 0, 0, 19, 268, 6, 57, 1, 14, 4, 9, 47, 0, 0]
[0, 1, 0, 0, 1, 1, 0, 0, 0, 14, 0, 3, 2, 0, 1, 0, 34, 2, 1, 0, 8, 1, 0, 0, 0, 4, 3, 6, 16, 3, 0, 7, 0, 0, 0, 3, 0, 8, 0, 1, 1, 0, 2, 0, 0]
[0, 0, 0, 1, 1, 0, 37, 2, 2, 5, 5, 0, 3, 0, 2, 0, 1, 0, 0, 3, 2, 8, 11, 1, 0, 9, 1, 1, 1, 2, 1, 66, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0]
[33, 3, 0, 0, 8, 0, 0, 12, 0, 27, 0, 9, 16, 0, 0, 0, 4, 0, 0, 1, 34, 0, 0, 0, 0, 13, 0, 3, 48, 3, 0, 5, 0, 0, 0, 14, 0, 1, 0, 10, 0, 0, 3, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
